# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001885,-0.000000,0.000000,248.836276,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.003769,0.000000,-0.000000,248.836276,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.004523,-0.000000,0.000000,248.836277,0.000000,0.000136,0.001109,0.000000,0.180563,1.470569
0.005277,0.000000,0.000000,248.836279,-0.000000,0.000444,0.003615,0.000000,0.408198,3.324508
0.006785,0.000000,0.000002,248.836291,0.000000,0.001403,0.011423,0.000000,0.863479,7.032472
0.008293,0.000000,0.000005,248.836318,-0.000000,0.003048,0.024821,-0.000000,1.318777,10.740576
0.009800,-0.000000,0.000012,248.836370,0.000000,0.005379,0.043811,0.000000,1.774096,14.448850
0.012610,-0.000000,0.000035,248.836563,0.000000,0.011557,0.094122,0.000000,2.622747,21.360561
0.015420,0.000000,0.000080,248.836926,0.000000,0.020119,0.163857,-0.000000,3.471509,28.273175
0.018230,-0.000000,0.000152,248.837511,0.000000,0.030998,0.252458,-0.000000,4.271492,34.788507
0.018796,0.000000,0.000170,248.837659,0.000000,0.033428,0.272246,-0.000000,4.322177,35.201305
0.019361,0.000000,0.000189,248.837819,0.000000,0.035886,0.292268,-0.000000,4.372864,35.614119
0.019927,-0.000000,0.000210,248.837990,0.000000,0.038373,0.312522,0.000000,4.423553,36.026948
0.021057,-0.000000,0.000257,248.838366,0.000000,0.043433,0.353732,0.000000,4.524937,36.852653
0.022188,-0.000000,0.000309,248.838790,0.000000,0.048607,0.395876,0.000000,4.626334,37.678466
0.023319,0.000000,0.000367,248.839262,0.000000,0.053897,0.438954,-0.000000,4.727737,38.504325
0.024450,-0.000000,0.000431,248.839783,-0.000000,0.059301,0.482966,0.000000,4.829145,39.330227
0.035759,0.000000,0.001432,248.847936,-0.000000,0.119650,0.974471,0.000000,5.843701,47.593129
0.038021,-0.000000,0.001718,248.850264,-0.000000,0.133097,1.083988,0.000000,6.046714,49.246531
0.040283,-0.000000,0.002034,248.852844,0.000000,0.147003,1.197245,-0.000000,6.249775,50.900331
0.042545,0.000000,0.002383,248.855684,0.000000,0.161278,1.313501,0.000000,6.372340,51.898543
0.046330,0.000000,0.003040,248.861032,-0.000000,0.185671,1.512171,0.000000,6.514946,53.059979
0.050116,-0.000000,0.003790,248.867141,-0.000000,0.210605,1.715239,-0.000000,6.657599,54.221791
0.053902,0.000000,0.004635,248.874027,0.000000,0.236079,1.922706,0.000000,6.800299,55.383990
0.059525,0.000000,0.006071,248.885718,0.000000,0.274494,2.235571,0.000000,6.863314,55.897207
0.065148,-0.000000,0.007723,248.899174,-0.000000,0.313161,2.550494,0.000000,6.890174,56.115963
0.070771,0.000000,0.009593,248.914404,0.000000,0.351980,2.866648,0.000000,6.917040,56.334773
0.082017,0.000000,0.013990,248.950219,-0.000000,0.430071,3.502647,0.000000,6.970803,56.772637
0.093263,0.000000,0.019269,248.993213,0.000000,0.508766,4.143571,-0.000000,7.024581,57.210618
0.104508,0.000000,0.025437,249.043440,-0.000000,0.588010,4.788958,-0.000000,7.068273,57.566467
0.126570,0.000000,0.040137,249.163165,0.000000,0.744665,6.064806,0.000000,7.133360,58.096552
0.148631,0.000000,0.058309,249.311167,0.000000,0.902755,7.352350,0.000000,7.198457,58.626726
0.152820,-0.000000,0.062151,249.342456,0.000000,0.932932,7.598124,-0.000000,7.210815,58.727379
0.158244,0.000002,0.067459,249.385392,0.000439,0.978696,7.916526,0.080971,8.437862,58.706917
0.163667,0.000007,0.073016,249.430059,0.000893,1.024549,8.235633,0.083649,8.454476,58.837008
0.174514,0.000022,0.084628,249.522860,0.001828,1.116421,8.875139,0.088758,8.484842,59.074967
0.185361,0.000047,0.097237,249.622609,0.002815,1.208528,9.516470,0.093310,8.497857,59.173649
0.196209,0.000083,0.110847,249.729320,0.003849,1.300775,10.158871,0.097242,8.510596,59.272252
0.227405,0.000253,0.155576,250.075152,0.006997,1.566819,12.012358,0.104568,8.545429,59.554264
0.258602,0.000522,0.208617,250.478905,0.010269,1.833602,13.872138,0.105194,8.557986,59.675715
0.289798,0.000892,0.269988,250.940752,0.013437,2.100858,15.736717,0.097896,8.575707,59.862003
0.312935,0.001228,0.320898,251.320939,0.015567,2.299982,17.128067,0.086287,8.637283,60.411235
0.336071,0.001609,0.376431,251.733465,0.017363,2.500510,18.532125,0.068960,8.697108,60.960627
0.359208,0.002026,0.436619,252.178622,0.018685,2.702401,19.948898,0.045332,8.755124,61.510304
0.405481,0.002917,0.571075,253.167913,0.019330,3.110114,22.820595,-0.023077,8.865402,62.609738
