# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001579,0.000000,-0.000000,248.836276,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
0.003158,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.006316,0.000000,-0.000000,248.836276,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.009474,0.000000,-0.000000,248.836276,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.012632,0.000000,0.000000,248.836276,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
0.013349,-0.000000,-0.000000,248.836276,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.014065,-0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015497,-0.000000,-0.000000,248.836276,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
0.016929,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.018361,0.000000,-0.000000,248.836276,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
0.018992,-0.000000,0.000000,248.836276,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.019623,0.000000,0.000000,248.836276,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.020884,-0.000000,-0.000000,248.836276,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
0.022145,-0.000000,0.000000,248.836277,0.000000,0.000118,0.001351,0.000000,0.187415,2.142167
0.023407,-0.000000,0.000001,248.836282,-0.000000,0.000671,0.007666,-0.000000,0.688604,7.870777
0.025123,0.000000,0.000003,248.836310,-0.000000,0.002396,0.027392,0.000000,1.370657,15.666683
0.026840,0.000000,0.000009,248.836384,-0.000000,0.005335,0.060974,0.000000,2.052749,23.463024
0.028556,0.000000,0.000022,248.836527,0.000000,0.009443,0.107940,0.000000,2.734890,31.259930
0.030273,0.000000,0.000043,248.836762,0.000000,0.014723,0.168289,-0.000000,3.417100,39.057629
0.032563,0.000000,0.000086,248.837264,0.000000,0.023592,0.269655,0.000000,4.327449,49.462965
0.034853,-0.000000,0.000153,248.838025,0.000000,0.034545,0.394855,0.000000,5.237955,59.870098
0.037143,-0.000000,0.000247,248.839100,0.000000,0.047584,0.543891,0.000000,6.148656,70.279459
0.038059,0.000000,0.000293,248.839628,0.000000,0.053384,0.610181,0.000000,6.512978,74.443675
0.038976,0.000000,0.000345,248.840219,0.000000,0.059517,0.680287,0.000000,6.877347,78.608438
0.039892,0.000000,0.000403,248.840876,-0.000000,0.065985,0.754207,0.000000,7.241754,82.773630
0.041724,-0.000000,0.000536,248.842397,-0.000000,0.079459,0.908221,0.000000,7.366095,84.194853
0.043556,0.000000,0.000694,248.844203,0.000000,0.093040,1.063452,0.000000,7.452460,85.182004
0.045388,0.000000,0.000877,248.846295,0.000000,0.106773,1.220426,0.000000,7.538839,86.169321
0.047220,-0.000000,0.001085,248.848676,0.000000,0.120665,1.379210,0.000000,7.625238,87.156872
0.050885,0.000000,0.001579,248.854322,0.000000,0.148924,1.702205,0.000000,7.798089,89.132565
0.054549,-0.000000,0.002178,248.861165,-0.000000,0.177816,2.032442,0.000000,7.971012,91.109080
0.058214,-0.000000,0.002882,248.869221,-0.000000,0.206890,2.364762,-0.000000,7.897554,90.269450
0.061878,0.000000,0.003693,248.878489,0.000000,0.235631,2.693280,0.000000,7.789472,89.034076
0.065542,-0.000000,0.004609,248.888951,-0.000000,0.263977,3.017270,0.000000,7.681336,87.798072
0.069207,0.000000,0.005627,248.900593,0.000000,0.291926,3.336730,0.000000,7.573141,86.561403
0.076535,-0.000000,0.007969,248.927363,-0.000000,0.346933,3.965459,0.000000,7.454293,85.202964
0.083864,0.000000,0.010712,248.958711,-0.000000,0.401448,4.588569,-0.000000,7.440174,85.041577
0.091193,-0.000000,0.013853,248.994622,-0.000000,0.455923,5.211225,0.000000,7.426020,84.879801
0.098522,0.000000,0.017394,249.035092,-0.000000,0.510295,5.832695,-0.000000,7.411834,84.717648
0.139456,-0.000000,0.044455,249.344402,0.000000,0.812060,9.281887,-0.000000,7.332016,83.805327
0.144016,-0.000003,0.048328,249.388463,-0.000548,0.849249,9.663205,-0.120165,8.156093,83.627432
0.148576,-0.000008,0.052369,249.434261,-0.001113,0.886395,10.044056,-0.123980,8.146416,83.525038
0.157695,-0.000023,0.060791,249.529327,-0.002277,0.960621,10.805089,-0.131185,8.132163,83.378235
0.166815,-0.000049,0.069890,249.631333,-0.003502,1.034819,11.565952,-0.137462,8.140458,83.488082
0.175934,-0.000087,0.079665,249.740282,-0.004779,1.109094,12.327816,-0.142748,8.148822,83.597500
0.201029,-0.000253,0.110067,250.076015,-0.008471,1.313882,14.429432,-0.151464,8.172396,83.897133
0.226123,-0.000514,0.145616,250.464581,-0.012260,1.519275,16.538543,-0.150524,8.197033,84.194865
0.251218,-0.000867,0.186327,250.906169,-0.015885,1.725304,18.655105,-0.138359,8.223095,84.490998
0.311162,-0.002022,0.304561,252.176611,-0.022112,2.220268,23.740867,-0.055130,8.292984,85.189803
0.359697,-0.003107,0.422113,253.429409,-0.021733,2.624360,27.889011,0.080903,8.360595,85.746108
0.408231,-0.003984,0.559360,254.884144,-0.013029,3.031881,32.062093,0.289741,8.433382,86.202122
0.456765,-0.004160,0.716466,256.541828,0.007736,3.442740,36.250539,0.579172,8.495528,86.343524
0.505299,-0.002953,0.893595,258.402963,0.044703,3.856961,40.444289,0.958988,8.576892,86.470778
0.550893,0.000237,1.078399,260.336910,0.098246,4.250149,44.389316,1.403677,8.673538,86.575911
0.596488,0.006361,1.281238,262.450832,0.174055,4.648233,48.338799,1.936087,8.792031,86.666022
0.642082,0.016526,1.502360,264.744915,0.276122,5.052248,52.292014,2.555326,8.933962,86.739340
0.687676,0.032016,1.742058,267.219313,0.408303,5.463284,56.248161,3.256251,9.100123,86.794335
0.744517,0.060983,2.067401,270.556552,0.620203,5.986457,61.175281,4.212330,9.305786,86.477985
0.801357,0.103581,2.422831,274.173311,0.888520,6.521874,66.079628,5.238338,9.540688,86.106026
0.858197,0.163104,2.809083,278.068173,1.216058,7.071409,70.962537,6.287077,9.798991,85.701801
0.915038,0.242927,3.226997,282.239925,1.602434,7.636018,75.821703,7.297108,10.068518,85.269824
0.971878,0.346293,3.677438,286.687165,2.043459,8.215896,80.655744,8.197379,10.333249,84.819704
1.012666,0.436603,4.021183,290.047331,2.388781,8.640619,84.105196,8.716282,10.486960,84.287597
1.053453,0.541393,4.382371,293.547734,2.752686,9.071009,87.531118,9.106548,10.612362,83.689396
1.094241,0.661310,4.761211,297.187377,3.129613,9.505935,90.932524,9.352542,10.709432,83.097510
1.126266,0.766345,5.071137,300.142008,3.430693,9.849789,93.586358,9.434417,10.761330,82.639563
1.158291,0.881046,5.392098,303.181393,3.732779,10.194924,96.225643,9.414494,10.788919,82.189229
1.190315,1.005394,5.724121,306.305072,4.032604,10.540528,98.850636,9.293273,10.790253,81.747079
1.222340,1.139265,6.067208,309.512589,4.326989,10.885738,101.461578,9.075552,10.764142,81.311450
1.264820,1.331149,6.539323,313.895832,4.704083,11.341539,104.903558,8.654866,10.687559,80.743427
1.307300,1.538635,7.030718,318.424779,5.060676,11.793124,108.321540,8.117341,10.566483,80.180104
1.349779,1.760761,7.541175,323.098411,5.392805,12.238755,111.715598,7.511953,10.408781,79.616468
1.392259,1.996441,8.070412,327.915712,5.698799,12.677107,115.085579,6.897646,10.226102,79.045047
1.434738,2.244576,8.618098,332.875626,5.979512,13.107259,118.429535,6.330946,10.022824,78.367078
1.477218,2.504153,9.183872,337.976956,6.238280,13.528662,121.742582,5.875926,9.818858,77.603200
1.519698,2.774358,9.767369,343.218320,6.481092,13.941808,125.022390,5.588695,9.638508,76.816045
1.562177,3.054675,10.368263,348.598290,6.715879,14.348065,128.268347,5.501880,9.496156,76.003725
1.604657,3.344949,10.986300,354.115406,6.951410,14.749257,131.479220,5.623360,9.401345,75.163746
1.647137,3.645394,11.621309,359.768154,7.196222,15.147501,134.653835,5.933017,9.357402,74.297139
1.679909,3.884468,12.122745,364.220802,7.395951,15.454049,137.077508,6.271295,9.355861,73.611682
1.706782,4.085519,12.541422,367.931007,7.568724,15.705728,139.048728,6.593910,9.378335,73.095399
1.733655,4.291332,12.966874,371.694008,7.750516,15.958289,141.006927,6.938744,9.421923,72.654867
1.760528,4.502156,13.399128,375.509465,7.941547,16.212123,142.953170,7.277630,9.472558,72.210313
1.787401,4.718232,13.838222,379.377063,8.141386,16.467383,144.887693,7.589015,9.525017,71.764630
1.814274,4.939786,14.284194,383.296488,8.349009,16.724027,146.810345,7.852749,9.573714,71.319604
1.841147,5.167008,14.737080,387.267422,8.562890,16.981869,148.721055,8.051855,9.613458,70.878960
1.868020,5.400041,15.196908,391.289546,8.781107,17.240598,150.619934,8.173568,9.639387,70.444219
1.894893,5.638973,15.663696,395.362541,9.001473,17.499794,152.507211,8.210699,9.647690,70.017460
1.921766,5.883832,16.137450,399.486100,9.221823,17.758917,154.383127,8.172762,9.633334,69.598420
1.948639,6.134592,16.618161,403.659927,9.440251,18.017413,156.248509,8.071101,9.600571,69.234490
1.975512,6.391177,17.105805,407.883757,9.655010,18.274812,158.104715,7.903044,9.552943,68.924253
2.002385,6.653466,17.600346,412.157353,9.864495,18.530679,159.952661,7.678497,9.487640,68.619539
2.029258,6.921298,18.101738,416.480500,10.067419,18.784613,161.792617,7.416155,9.408781,68.317212
2.056131,7.194487,18.609925,420.852983,10.263028,19.036311,163.624512,7.138154,9.321675,68.014652
2.059799,7.232185,18.679822,421.453694,10.289145,19.070486,163.873946,7.100346,9.309480,67.973154
2.063468,7.269978,18.749844,422.055316,10.315012,19.104470,164.122014,7.007144,9.224700,67.324718
2.067136,7.307865,18.819990,422.657845,10.340554,19.138163,164.367872,6.911228,9.135795,66.641650
2.070805,7.345846,18.890259,423.261271,10.365743,19.171528,164.611205,6.815788,9.046863,65.958089
2.077091,7.411139,19.010951,424.297331,10.408094,19.227939,165.022308,6.653628,8.894558,64.786359
2.083377,7.476694,19.131994,425.335947,10.449424,19.283380,165.425936,6.493447,8.742458,63.614407
2.089663,7.542506,19.253382,426.377075,10.489751,19.337862,165.822159,6.335479,8.590613,62.442052
2.100343,7.654892,19.460393,428.151563,10.556005,19.428232,166.478366,6.072724,8.333443,60.449773
2.101870,7.671015,19.490065,428.405803,10.565248,19.440926,166.570439,6.035782,8.296751,60.164660
2.103397,7.687153,19.519756,428.660183,10.574405,19.453525,166.661741,5.969186,8.220619,59.549039
2.104923,7.703304,19.549466,428.914701,10.583378,19.465900,166.751200,5.817809,8.031993,57.991080
2.106811,7.723292,19.586226,429.229578,10.594172,19.480826,166.858714,5.630968,7.798719,56.063852
2.108699,7.743301,19.623013,429.544655,10.604622,19.495322,166.962682,5.444635,7.565585,54.137234
2.110586,7.763328,19.659828,429.859925,10.614723,19.509382,167.063044,5.258752,7.332528,52.210706
2.116673,7.828027,19.778703,430.877687,10.644865,19.551654,167.361308,4.649765,6.564579,45.856780
