# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,8.772864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001516,0.000000,-0.000000,8.772864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003031,0.000000,0.000000,8.772864,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
0.006063,0.000000,-0.000000,8.772864,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
0.009094,0.000000,-0.000000,8.772864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012126,0.000000,0.000000,8.772864,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000
0.012760,0.000000,0.000000,8.772864,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000
0.013394,0.000000,-0.000000,8.772864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.014663,-0.000000,0.000000,8.772865,-0.000000,0.000123,0.001409,-0.000000,0.194386,2.221845
0.015931,0.000000,0.000001,8.772871,-0.000000,0.000719,0.008217,0.000000,0.744630,8.511154
0.017200,-0.000000,0.000002,8.772891,-0.000000,0.002013,0.023004,-0.000000,1.294892,14.800680
0.028421,0.000000,0.000260,8.775833,0.000000,0.043862,0.501348,0.000000,6.164044,70.455351
0.031813,-0.000000,0.000448,8.777987,-0.000000,0.067270,0.768898,0.000000,7.637040,87.291764
0.034187,0.000000,0.000631,8.780072,0.000000,0.086392,0.987470,0.000000,8.475521,96.875648
0.035996,-0.000000,0.000801,8.782018,-0.000000,0.101902,1.164749,-0.000000,8.673302,99.136297
0.037805,-0.000000,0.001000,8.784289,0.000000,0.117770,1.346117,-0.000000,8.871137,101.397557
0.039614,-0.000000,0.001227,8.786892,0.000000,0.133996,1.531576,0.000000,9.069026,103.659446
0.043231,-0.000000,0.001771,8.793111,-0.000000,0.167060,1.909500,-0.000000,9.159013,104.687998
0.046849,0.000000,0.002436,8.800705,0.000000,0.200246,2.288827,-0.000000,9.175635,104.877990
0.050467,-0.000000,0.003220,8.809672,0.000000,0.233471,2.668588,-0.000000,9.192256,105.067971
0.054084,0.000000,0.004125,8.820014,0.000000,0.266756,3.049037,0.000000,9.208877,105.257942
0.063057,0.000000,0.006888,8.851594,0.000000,0.349128,3.990550,0.000000,9.152897,104.618096
0.068946,0.000000,0.009101,8.876893,0.000000,0.402464,4.600188,0.000000,8.958443,102.395468
0.074836,-0.000000,0.011626,8.905744,-0.000000,0.454655,5.196727,-0.000000,8.763771,100.170357
0.080726,0.000000,0.014454,8.938070,-0.000000,0.505698,5.780154,0.000000,8.568886,97.942815
0.092506,-0.000000,0.020999,9.012885,-0.000000,0.604716,6.911931,-0.000000,8.255362,94.359224
0.104285,0.000000,0.028694,9.100832,-0.000000,0.701257,8.015400,0.000000,8.174564,93.435696
0.113485,0.000000,0.035489,9.178510,0.000000,0.776182,8.871797,0.000000,8.111302,92.712601
0.122684,-0.000000,0.042972,9.264038,-0.000000,0.850509,9.721359,-0.000000,8.047901,91.987935
0.131883,0.000000,0.051136,9.357350,-0.000000,0.924252,10.564248,0.000000,7.984364,91.261693
0.141083,-0.000000,0.059976,9.458391,-0.000000,0.997536,11.401884,-0.000000,7.953455,90.908407
0.153570,-0.000000,0.073051,9.607845,0.000000,1.096665,12.534943,-0.000000,7.927915,90.616488
0.166057,0.000000,0.087363,9.771426,-0.000000,1.195501,13.664638,0.000000,7.902235,90.322963
