T,Alt,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,AUX
0.00,2.00,0.40,8.00,0,0,0,0,0,0,0
0.05,13.00,2.92,50.40,0,0,0,0,0,0,0
0.10,20.00,6.34,68.32,0,0,0,0,0,0,0
0.15,36.00,12.27,118.66,0,0,0,0,0,0,0
0.20,15.00,12.82,10.92,0,0,0,0,0,0,0
0.25,23.00,14.85,40.74,0,0,0,0,0,0,0
0.30,16.00,15.08,4.59,0,0,0,0,0,0,0
0.35,63.00,24.67,191.67,0,0,0,0,0,0,0
0.40,69.00,33.53,177.34,0,0,0,0,0,0,0
0.45,61.00,39.03,109.87,0,0,0,0,0,0,0
0.50,84.00,48.02,179.90,0,0,0,0,0,0,0
0.55,85.00,55.42,147.92,0,0,0,0,0,0,0
0.60,92.00,62.73,146.33,0,0,0,0,0,0,0
0.65,109.00,71.99,185.07,0,0,0,0,0,0,0
0.70,137.00,84.99,260.05,0,0,0,0,0,0,0
0.75,103.00,88.59,72.04,0,0,0,0,0,0,0
0.80,130.00,96.87,165.63,0,0,0,0,0,0,0
0.85,156.00,108.70,236.51,0,0,0,0,0,0,0
0.90,195.00,125.96,345.21,0,0,0,0,0,0,0
0.95,247.00,150.17,484.16,247,0,0,0,0,0,0
1.00,237.00,167.53,347.33,0,0,0,0,0,0,0
1.05,259.00,185.83,365.87,0,0,0,0,0,0,0
1.10,260.00,200.66,296.69,0,0,0,0,0,0,0
1.15,271.00,214.73,281.35,0,0,0,0,0,0,0
1.20,306.00,232.98,365.08,0,0,0,0,0,0,0
1.25,323.00,250.99,360.07,0,0,0,0,0,0,0
1.30,367.00,274.19,464.05,0,0,0,0,0,0,0
1.35,347.00,288.75,291.24,0,0,0,0,0,0,0
1.40,290.00,289.00,4.99,0,0,0,0,0,0,0
1.45,381.00,307.40,367.99,0,0,0,0,0,0,0
1.50,369.00,319.72,246.40,0,0,0,0,0,0,0
1.55,425.00,340.78,421.12,0,0,0,0,0,0,0
1.60,450.00,362.62,436.89,0,0,0,0,0,0,0
1.65,428.00,375.70,261.51,0,0,0,0,0,0,0
1.70,432.00,386.96,225.21,0,0,0,0,0,0,0
1.75,442.00,397.97,220.17,0,0,0,0,0,0,0
1.80,483.00,414.97,340.14,0,0,0,0,0,0,0
1.85,476.00,427.18,244.11,0,0,0,0,0,0,0
1.90,489.00,439.54,247.29,0,0,0,0,0,0,0
1.95,504.00,452.43,257.83,0,0,0,0,0,0,0
2.00,517.00,465.35,258.26,0,0,0,0,0,0,0
2.05,531.00,478.48,262.61,0,0,0,0,0,0,0
2.10,543.00,491.38,258.09,0,0,0,0,0,0,0
2.15,562.00,505.51,282.47,0,0,0,0,0,0,0
2.20,542.00,512.80,145.98,0,0,0,0,0,0,0
2.25,574.00,525.04,244.78,0,0,0,0,0,0,0
2.30,562.00,532.43,147.82,0,0,0,0,0,0,0
2.35,579.00,541.75,186.26,0,0,0,0,0,0,0
2.40,612.00,555.80,281.01,0,0,0,0,0,0,0
2.45,634.00,571.44,312.81,0,0,0,0,0,0,0
2.50,642.00,585.55,282.24,0,0,0,0,0,0,0
2.55,651.00,598.64,261.80,0,0,0,0,0,0,0
2.60,662.00,611.31,253.44,0,0,0,0,0,0,0
2.65,676.00,624.25,258.75,0,0,0,0,0,0,0
2.70,664.00,632.20,159.00,0,0,0,0,0,0,0
2.75,662.00,638.16,119.20,0,0,0,0,0,0,0
2.80,696.00,649.73,231.36,0,0,0,0,0,0,0
2.85,712.00,662.18,249.09,0,0,0,0,0,0,0
2.90,720.00,673.75,231.27,0,0,0,0,0,0,0
2.95,719.00,682.80,181.02,0,0,0,0,0,0,0
3.00,695.00,685.24,48.81,0,0,0,0,0,0,0
3.05,762.00,700.59,307.05,0,0,0,0,0,0,0
3.10,748.00,710.07,189.64,0,0,0,0,0,0,0
3.15,806.00,729.26,383.71,0,0,0,0,0,0,0
3.20,775.00,738.41,182.97,0,0,0,0,0,0,0
3.25,810.00,752.72,286.38,0,0,0,0,0,0,0
3.30,785.00,759.18,129.10,0,0,0,0,0,0,0
3.35,822.00,771.74,251.28,0,0,0,0,0,0,0
3.40,800.00,777.40,113.02,0,0,0,0,0,0,0
3.45,857.00,793.32,318.42,0,0,0,0,0,0,0
3.50,837.00,802.05,174.74,0,0,0,0,0,0,0
3.55,847.00,811.04,179.79,0,0,0,0,0,0,0
3.60,860.00,820.83,195.83,0,0,0,0,0,0,0
3.65,879.00,832.47,232.66,0,0,0,0,0,0,0
3.70,888.00,843.57,222.13,0,0,0,0,0,0,0
3.75,889.00,852.66,181.71,0,0,0,0,0,0,0
3.80,893.00,860.73,161.36,0,0,0,0,0,0,0
3.85,890.00,866.58,117.09,0,0,0,0,0,0,0
3.90,902.00,873.67,141.67,0,0,0,0,0,0,0
3.95,905.00,879.93,125.34,0,0,0,0,0,0,0
4.00,934.00,890.75,216.27,0,0,0,0,0,0,0
4.05,933.00,899.20,169.02,0,0,0,0,0,0,0
4.10,965.00,912.36,263.21,0,0,0,0,0,0,0
4.15,974.00,924.69,246.57,0,0,0,0,0,0,0
4.20,954.00,930.55,117.26,0,0,0,0,0,0,0
4.25,989.00,942.24,233.80,0,0,0,0,0,0,0
4.30,993.00,952.39,203.04,0,0,0,0,0,0,0
4.35,981.00,958.11,114.43,0,0,0,0,0,0,0
4.40,1022.00,970.89,255.55,0,0,0,0,0,0,0
4.45,995.00,975.71,96.44,0,0,0,0,0,0,0
4.50,995.00,979.57,77.15,0,0,0,0,0,0,0
4.55,999.00,983.46,77.72,0,0,0,0,0,0,0
4.60,1034.00,993.56,202.18,0,0,0,0,0,0,0
4.65,1021.00,999.05,109.74,0,0,0,0,0,0,0
4.70,1029.00,1005.04,119.79,0,0,0,0,0,0,0
4.75,1035.00,1011.03,119.83,0,0,0,0,0,0,0
4.80,1058.00,1020.43,187.87,0,0,0,0,0,0,0
4.85,1047.00,1025.74,106.30,0,0,0,0,0,0,0
4.90,1054.00,1031.39,113.03,0,0,0,0,0,0,0
4.95,1063.00,1037.71,126.43,0,0,0,0,0,0,0
5.00,1062.00,1042.57,97.14,0,0,0,0,0,0,0
5.05,1094.00,1052.86,205.71,0,0,0,0,0,0,0
5.10,1141.00,1070.49,352.57,0,0,0,0,0,0,0
5.15,1125.00,1081.39,218.06,0,0,0,0,0,0,0
5.20,1107.00,1086.51,102.45,0,0,0,0,0,0,0
5.25,1107.00,1090.61,81.96,0,0,0,0,0,0,0
5.30,1119.00,1096.29,113.56,0,0,0,0,0,0,0
5.35,1151.00,1107.23,218.85,0,0,0,0,0,0,0
5.40,1147.00,1115.18,159.08,0,0,0,0,0,0,0
5.45,1162.00,1124.55,187.27,0,0,0,0,0,0,0
5.50,1151.00,1129.84,105.81,0,0,0,0,0,0,0
