T,Alt,,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,AUX
0,2,,8,0,0,0,0,0,0,0
0.05,13,,50.4,0,0,0,0,0,0,0
0.1,20,,68.32,0,0,0,0,0,0,0
0.15,36,,118.66,0,0,0,0,0,0,0
0.2,15,,10.92,0,0,0,0,0,0,0
0.25,23,,40.74,0,0,0,0,0,0,0
0.3,16,,4.59,0,0,0,0,0,0,0
0.35,63,,191.67,0,0,0,0,0,0,0
0.4,69,,177.34,0,0,0,0,0,0,0
0.45,61,,109.87,0,0,0,0,0,0,0
0.5,84,,179.9,0,0,0,0,0,0,0
0.55,85,,147.92,0,0,0,0,0,0,0
0.6,92,,146.33,0,0,0,0,0,0,0
0.65,109,,185.07,0,0,0,0,0,0,0
0.7,137,,260.05,0,0,0,0,0,0,0
0.75,103,,72.04,0,0,0,0,0,0,0
0.8,130,,165.63,0,0,0,0,0,0,0
0.85,156,,236.51,0,0,0,0,0,0,0
0.9,195,,345.21,0,0,0,0,0,0,0
0.95,247,,355,247,0,0,0,0,0,0
1,237,,347.33,0,0,0,0,0,0,0
1.05,259,,340,0,0,0,0,0,0,0
1.1,260,,296.69,0,0,0,0,0,0,0
1.15,271,,281.35,0,0,0,0,0,0,0
1.2,306,,365.08,0,0,0,0,0,0,0
1.25,323,,360.07,0,0,0,0,0,0,0
1.3,367,,360,0,0,0,0,0,0,0
1.35,347,,291.24,0,0,0,0,0,0,0
1.4,290,,300,0,0,0,0,0,0,0
1.45,381,,340,0,0,0,0,0,0,0
1.5,369,,246.4,0,0,0,0,0,0,0
1.55,425,,265,0,0,0,0,0,0,0
1.6,450,,260,0,0,0,0,0,0,0
1.65,428,,261.51,0,0,0,0,0,0,0
1.7,432,,225.21,0,0,0,0,0,0,0
1.75,442,,220.17,0,0,0,0,0,0,0
1.8,483,,340.14,0,0,0,0,0,0,0
1.85,476,,244.11,0,0,0,0,0,0,0
1.9,489,,247.29,0,0,0,0,0,0,0
1.95,504,,257.83,0,0,0,0,0,0,0
2,517,,258.26,0,0,0,0,0,0,0
2.05,531,,262.61,0,0,0,0,0,0,0
2.1,543,,258.09,0,0,0,0,0,0,0
2.15,562,,282.47,0,0,0,0,0,0,0
2.2,542,,145.98,0,0,0,0,0,0,0
2.25,574,,244.78,0,0,0,0,0,0,0
2.3,562,,147.82,0,0,0,0,0,0,0
2.35,579,,186.26,0,0,0,0,0,0,0
2.4,612,,281.01,0,0,0,0,0,0,0
2.45,634,,220,0,0,0,0,0,0,0
2.5,642,,210,0,0,0,0,0,0,0
2.55,651,,261.8,0,0,0,0,0,0,0
2.6,662,,253.44,0,0,0,0,0,0,0
2.65,676,,258.75,0,0,0,0,0,0,0
2.7,664,,159,0,0,0,0,0,0,0
2.75,662,,119.2,0,0,0,0,0,0,0
2.8,696,,231.36,0,0,0,0,0,0,0
2.85,712,,249.09,0,0,0,0,0,0,0
2.9,720,,231.27,0,0,0,0,0,0,0
2.95,719,,181.02,0,0,0,0,0,0,0
3,695,,48.81,0,0,0,0,0,0,0
3.05,762,,200,0,0,0,0,0,0,0
3.1,748,,189.64,0,0,0,0,0,0,0
3.15,806,,200,0,0,0,0,0,0,0
3.2,775,,182.97,0,0,0,0,0,0,0
3.25,810,,286.38,0,0,0,0,0,0,0
3.3,785,,129.1,0,0,0,0,0,0,0
3.35,822,,251.28,0,0,0,0,0,0,0
3.4,800,,113.02,0,0,0,0,0,0,0
3.45,857,,190,0,0,0,0,0,0,0
3.5,837,,174.74,0,0,0,0,0,0,0
3.55,847,,179.79,0,0,0,0,0,0,0
3.6,860,,195.83,0,0,0,0,0,0,0
3.65,879,,232.66,0,0,0,0,0,0,0
3.7,888,,222.13,0,0,0,0,0,0,0
3.75,889,,181.71,0,0,0,0,0,0,0
3.8,893,,161.36,0,0,0,0,0,0,0
3.85,890,,117.09,0,0,0,0,0,0,0
3.9,902,,141.67,0,0,0,0,0,0,0
3.95,905,,125.34,0,0,0,0,0,0,0
4,934,,216.27,0,0,0,0,0,0,0
4.05,933,,169.02,0,0,0,0,0,0,0
4.1,965,,263.21,0,0,0,0,0,0,0
4.15,974,,246.57,0,0,0,0,0,0,0
4.2,954,,117.26,0,0,0,0,0,0,0
4.25,989,,233.8,0,0,0,0,0,0,0
4.3,993,,203.04,0,0,0,0,0,0,0
4.35,981,,114.43,0,0,0,0,0,0,0
4.4,1022,,255.55,0,0,0,0,0,0,0
4.45,995,,96.44,0,0,0,0,0,0,0
4.5,995,,77.15,0,0,0,0,0,0,0
4.55,999,,77.72,0,0,0,0,0,0,0
4.6,1034,,202.18,0,0,0,0,0,0,0
4.65,1021,,109.74,0,0,0,0,0,0,0
4.7,1029,,119.79,0,0,0,0,0,0,0
4.75,1035,,119.83,0,0,0,0,0,0,0
4.8,1058,,187.87,0,0,0,0,0,0,0
4.85,1047,,106.3,0,0,0,0,0,0,0
4.9,1054,,113.03,0,0,0,0,0,0,0
4.95,1063,,126.43,0,0,0,0,0,0,0
5,1062,,97.14,0,0,0,0,0,0,0
5.05,1094,,205.71,0,0,0,0,0,0,0
5.1,1141,,352.57,0,0,0,0,0,0,0
5.15,1125,,218.06,0,0,0,0,0,0,0
5.2,1107,,102.45,0,0,0,0,0,0,0
5.25,1107,,81.96,0,0,0,0,0,0,0
5.3,1119,,113.56,0,0,0,0,0,0,0
5.35,1151,,218.85,0,0,0,0,0,0,0
5.4,1147,,159.08,0,0,0,0,0,0,0
5.45,1162,,187.27,0,0,0,0,0,0,0
5.5,1151,,105.81,0,0,0,0,0,0,0
5.55,1132,,8.65,0,0,0,0,0,0,0
5.6,1132,,6.92,0,0,0,0,0,0,0
5.65,1180,,197.54,0,0,0,0,0,0,0
5.7,1157,,66.03,0,0,0,0,0,0,0
5.75,1171,,108.82,0,0,0,0,0,0,0
5.8,1180,,123.06,0,0,0,0,0,0,0
5.85,1205,,198.45,0,0,0,0,0,0,0
5.9,1188,,90.76,0,0,0,0,0,0,0
5.95,1201,,124.61,0,0,0,0,0,0,0
6,1260,,335.68,0,0,0,0,0,0,0
6.05,1193,,0.55,0,0,0,0,0,0,0
6.1,1251,,232.44,0,0,0,0,0,0,0
6.15,1228,,93.95,0,0,0,0,0,0,0
6.2,1232,,91.16,0,0,0,0,0,0,0
6.25,1220,,24.93,0,0,0,0,0,0,0
