# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,8.772864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001625,-0.000000,0.000000,8.772864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003249,-0.000000,-0.000000,8.772864,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.006499,0.000000,0.000000,8.772864,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.009748,-0.000000,-0.000000,8.772864,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000
0.012998,-0.000000,0.000000,8.772864,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.013742,-0.000000,-0.000000,8.772864,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
0.014487,0.000000,-0.000000,8.772864,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.015975,-0.000000,0.000000,8.772864,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.017464,0.000000,0.000000,8.772864,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
0.018952,0.000000,-0.000000,8.772864,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000
0.019583,-0.000000,-0.000000,8.772864,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
0.020213,0.000000,0.000000,8.772864,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.021474,0.000000,0.000000,8.772864,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.022735,-0.000000,-0.000000,8.772865,-0.000000,0.000000,0.002543,0.000000,0.000000,4.032846
0.023996,0.000000,0.000000,8.772874,0.000000,-0.000000,0.011063,0.000000,-0.000000,9.480704
0.025980,0.000000,0.000000,8.772923,0.000000,0.000000,0.038366,0.000000,0.000000,18.050502
0.027963,-0.000000,-0.000000,8.773043,-0.000000,0.000000,0.082668,-0.000000,0.000000,26.620898
0.029947,0.000000,0.000000,8.773268,0.000000,0.000000,0.143970,0.000000,0.000000,35.192149
0.032115,0.000000,0.000000,8.773674,-0.000000,-0.000000,0.230457,0.000000,-0.000000,44.565122
0.034284,0.000000,-0.000000,8.774290,-0.000000,-0.000000,0.337274,-0.000000,-0.000000,53.939663
0.036453,-0.000000,-0.000000,8.775159,-0.000000,0.000000,0.464423,0.000000,-0.000000,63.315790
0.040790,-0.000000,0.000000,8.777811,0.000000,0.000000,0.774288,0.000000,0.000000,79.059880
0.041440,0.000000,-0.000000,8.778330,0.000000,0.000000,0.825733,0.000000,0.000000,79.392507
0.042089,-0.000000,-0.000000,8.778883,-0.000000,-0.000000,0.877393,0.000000,-0.000000,79.725172
0.042738,0.000000,0.000000,8.779470,0.000000,-0.000000,0.929270,0.000000,0.000000,80.057856
0.044037,-0.000000,0.000000,8.780744,0.000000,-0.000000,1.033672,0.000000,-0.000000,80.723268
0.045336,-0.000000,0.000000,8.782155,-0.000000,0.000000,1.138937,0.000000,0.000000,81.388769
0.046634,0.000000,-0.000000,8.783703,0.000000,0.000000,1.245067,0.000000,-0.000000,82.054391
0.049232,0.000000,0.000000,8.787216,0.000000,-0.000000,1.459921,0.000000,0.000000,83.385882
0.051829,0.000000,-0.000000,8.791291,0.000000,0.000000,1.678234,-0.000000,-0.000000,84.717744
0.054426,0.000000,0.000000,8.795938,-0.000000,0.000000,1.900006,-0.000000,-0.000000,86.050018
0.059621,0.000000,-0.000000,8.806962,0.000000,-0.000000,2.345593,0.000000,0.000000,84.862017
0.064816,0.000000,0.000000,8.820285,-0.000000,-0.000000,2.782304,-0.000000,-0.000000,83.194783
0.070011,-0.000000,0.000000,8.835853,0.000000,0.000000,3.210145,0.000000,0.000000,81.526411
0.075205,-0.000000,0.000000,8.853624,0.000000,0.000000,3.630750,-0.000000,0.000000,80.519494
0.082952,0.000000,0.000000,8.884161,0.000000,-0.000000,4.252466,-0.000000,0.000000,80.356271
0.090699,0.000000,0.000000,8.919510,0.000000,-0.000000,4.874719,-0.000000,-0.000000,80.192712
0.098445,-0.000000,0.000000,8.959678,0.000000,0.000000,5.495312,-0.000000,-0.000000,80.028827
0.106192,-0.000000,-0.000000,9.004648,-0.000000,-0.000000,6.114635,0.000000,-0.000000,79.864680
0.113939,0.000000,0.000000,9.054411,0.000000,0.000000,6.732684,0.000000,-0.000000,79.700150
0.126694,0.000000,0.000000,9.146759,0.000000,0.000000,7.747535,0.000000,0.000000,79.428632
0.139449,-0.000000,-0.000000,9.252030,0.000000,-0.000000,8.758917,-0.000000,-0.000000,79.156263
0.142915,0.000000,0.000000,9.282868,0.000000,0.000000,9.033166,-0.000000,0.000000,79.082097
0.146347,0.000003,0.000000,9.314797,0.000783,0.000009,9.304288,0.228302,0.002600,79.006224
0.149779,0.000008,0.000000,9.347656,0.001580,0.000018,9.575158,0.232240,0.002645,78.932684
0.156642,0.000025,0.000000,9.415231,0.003200,0.000036,10.116465,0.239764,0.002731,78.806372
0.163505,0.000052,0.000001,9.486521,0.004869,0.000055,10.657607,0.246455,0.002807,78.884584
0.170368,0.000092,0.000001,9.561526,0.006580,0.000075,11.199286,0.252264,0.002873,78.962907
0.192516,0.000301,0.000003,9.828960,0.012300,0.000140,12.950911,0.264214,0.003010,79.214759
0.214664,0.000638,0.000007,10.135250,0.018155,0.000207,14.708102,0.264505,0.003013,79.465549
0.236811,0.001104,0.000013,10.480519,0.023867,0.000272,16.470842,0.251355,0.002863,79.715893
0.286819,0.002577,0.000029,11.404066,0.034629,0.000394,20.471298,0.163745,0.001865,80.277893
0.336826,0.004437,0.000051,12.528392,0.038596,0.000440,24.499747,-0.021103,-0.000240,80.835416
0.386833,0.006213,0.000071,13.854865,0.030489,0.000347,28.555951,-0.322199,-0.003670,81.387854
0.436841,0.007154,0.000081,15.384733,0.004127,0.000047,32.633197,-0.753505,-0.008583,81.625299
