T,Alt,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,AUX
0,7,1.4,28,0,0,0,0,0,0,0
0.05,35,8.12,134.4,0,0,0,0,0,0,0
0.1,45,15.5,147.52,0,0,0,0,0,0,0
0.15,18,16,10.02,0,0,0,0,0,0,0
0.2,33,19.4,68.01,0,0,0,0,0,0,0
0.25,50,25.52,122.41,0,0,0,0,0,0,0
0.3,63,33.01,149.93,0,0,0,0,0,0,0
0.35,27,31.81,-24.06,0,0,0,0,0,0,0
0.4,109,47.25,308.75,0,0,0,0,0,0,0
0.45,93,56.4,183,0,0,0,0,0,0,0
0.5,81,61.32,98.4,0,0,0,0,0,0,0
0.55,97,68.46,142.72,0,0,0,0,0,0,0
0.6,117,78.16,194.18,0,0,0,0,0,0,0
0.65,124,87.33,183.34,0,0,0,0,0,0,0
0.7,135,96.87,190.67,0,0,0,0,0,0,0
0.75,173,112.09,304.54,0,0,0,0,0,0,0
0.8,222,134.07,439.63,222,0,0,0,0,0,0
0.85,260,159.26,503.7,0,0,0,0,0,0,0
0.9,272,181.81,450.96,0,0,0,0,0,0,0
0.95,262,197.85,320.77,0,0,0,0,0,0,0
1,304,219.08,424.62,0,0,0,0,0,0,0
1.05,327,240.66,431.69,0,0,0,0,0,0,0
1.1,351,262.73,441.35,0,0,0,0,0,0,0
1.15,349,279.98,345.08,0,0,0,0,0,0,0
1.2,366,297.19,344.07,0,0,0,0,0,0,0
1.25,390,315.75,371.25,0,0,0,0,0,0,0
1.3,386,329.8,281,0,0,0,0,0,0,0
1.35,416,347.04,344.8,0,0,0,0,0,0,0
1.4,446,366.83,395.84,0,0,0,0,0,0,0
1.45,474,388.27,428.67,0,0,0,0,0,0,0
1.5,466,403.81,310.94,0,0,0,0,0,0,0
1.55,536,430.25,528.75,0,0,0,0,0,0,0
1.6,542,452.6,447,0,0,0,0,0,0,0
1.65,542,470.48,357.6,0,0,0,0,0,0,0
1.7,580,492.38,438.08,0,0,0,0,0,0,0
1.75,637,521.31,578.46,0,0,0,0,0,0,0
1.8,633,543.65,446.77,0,0,0,0,0,0,0
1.85,672,569.32,513.42,0,0,0,0,0,0,0
1.9,701,595.65,526.73,0,0,0,0,0,0,0
1.95,745,625.52,597.39,0,0,0,0,0,0,0
2,764,653.22,553.91,0,0,0,0,0,0,0
2.05,780,678.57,507.13,0,0,0,0,0,0,0
2.1,783,699.46,417.7,0,0,0,0,0,0,0
2.15,798,719.17,394.16,0,0,0,0,0,0,0
2.2,875,750.33,623.33,0,0,0,0,0,0,0
2.25,866,773.47,462.66,0,0,0,0,0,0,0
2.3,886,795.97,450.13,0,0,0,0,0,0,0
2.35,918,820.38,488.1,0,0,0,0,0,0,0
2.4,930,842.3,438.48,0,0,0,0,0,0,0
2.45,952,864.24,438.79,0,0,0,0,0,0,0
2.5,959,883.19,379.03,0,0,0,0,0,0,0
2.55,981,902.76,391.22,0,0,0,0,0,0,0
2.6,1007,923.6,416.98,0,0,0,0,0,0,0
2.65,1048,948.48,497.58,0,0,0,0,0,0,0
2.7,1047,968.19,394.07,0,0,0,0,0,0,0
2.75,1093,993.15,499.25,0,0,0,0,0,0,0
2.8,1087,1011.92,375.4,0,0,0,0,0,0,0
2.85,1151,1039.74,556.32,0,0,0,0,0,0,0
2.9,1166,1064.99,505.06,0,0,0,0,0,0,0
2.95,1138,1079.59,292.05,0,0,0,0,0,0,0
3,1192,1102.07,449.64,0,0,0,0,0,0,0
3.05,1219,1125.46,467.71,0,0,0,0,0,0,0
3.1,1288,1157.97,650.17,0,0,0,0,0,0,0
3.15,1229,1172.17,284.13,0,0,0,0,0,0,0
3.2,1318,1201.34,583.31,0,0,0,0,0,0,0
3.25,1304,1221.87,410.64,0,0,0,0,0,0,0
3.3,1305,1238.5,332.52,0,0,0,0,0,0,0
3.35,1312,1253.2,294.01,0,0,0,0,0,0,0
3.4,1347,1271.96,375.21,0,0,0,0,0,0,0
3.45,1368,1291.17,384.17,0,0,0,0,0,0,0
3.5,1383,1309.53,367.33,0,0,0,0,0,0,0
3.55,1394,1326.43,337.87,0,0,0,0,0,0,0
3.6,1412,1343.54,342.29,0,0,0,0,0,0,0
3.65,1432,1361.23,353.84,0,0,0,0,0,0,0
3.7,1456,1380.19,379.07,0,0,0,0,0,0,0
3.75,1477,1399.55,387.26,0,0,0,0,0,0,0
3.8,1501,1419.84,405.8,0,0,0,0,0,0,0
3.85,1525,1440.87,420.64,0,0,0,0,0,0,0
3.9,1562,1465.1,484.51,0,0,0,0,0,0,0
3.95,1555,1483.08,359.61,0,0,0,0,0,0,0
4,1575,1501.46,367.69,0,0,0,0,0,0,0
4.05,1618,1524.77,466.15,0,0,0,0,0,0,0
4.1,1608,1541.42,332.92,0,0,0,0,0,0,0
4.15,1653,1563.73,446.34,0,0,0,0,0,0,0
4.2,1672,1585.39,433.07,0,0,0,0,0,0,0
4.25,1688,1605.91,410.46,0,0,0,0,0,0,0
4.3,1711,1626.93,420.36,0,0,0,0,0,0,0
4.35,1736,1648.74,436.29,0,0,0,0,0,0,0
4.4,1723,1663.59,297.03,0,0,0,0,0,0,0
4.45,1749,1680.67,341.63,0,0,0,0,0,0,0
4.5,1770,1698.54,357.3,0,0,0,0,0,0,0
4.55,1785,1715.83,345.84,0,0,0,0,0,0,0
4.6,1816,1735.87,400.67,0,0,0,0,0,0,0
4.65,1840,1756.69,416.54,0,0,0,0,0,0,0
4.7,1857,1776.75,401.23,0,0,0,0,0,0,0
4.75,1865,1794.4,352.98,0,0,0,0,0,0,0
4.8,1907,1816.92,450.39,0,0,0,0,0,0,0
4.85,1882,1829.94,260.31,0,0,0,0,0,0,0
4.9,1938,1851.55,432.25,0,0,0,0,0,0,0
4.95,1924,1866.04,289.8,0,0,0,0,0,0,0
5,1985,1889.83,475.84,0,0,0,0,0,0,0
5.05,1997,1911.27,428.67,0,0,0,0,0,0,0
5.1,1974,1923.81,250.94,0,0,0,0,0,0,0
5.15,1994,1937.85,280.75,0,0,0,0,0,0,0
5.2,2036,1957.48,392.6,0,0,0,0,0,0,0
5.25,2038,1973.58,322.08,0,0,0,0,0,0,0
5.3,2045,1987.87,285.66,0,0,0,0,0,0,0
5.35,2090,2008.29,408.53,0,0,0,0,0,0,0
5.4,2082,2023.04,294.82,0,0,0,0,0,0,0
5.45,2095,2037.43,287.86,0,0,0,0,0,0,0
5.5,2111,2052.14,294.29,0,0,0,0,0,0,0
5.55,2130,2067.71,311.43,0,0,0,0,0,0,0
5.6,2145,2083.17,309.15,0,0,0,0,0,0,0
5.65,2164,2099.34,323.32,0,0,0,0,0,0,0
5.7,2180,2115.47,322.65,0,0,0,0,0,0,0
5.75,2209,2134.18,374.12,0,0,0,0,0,0,0
5.8,2231,2153.54,387.29,0,0,0,0,0,0,0
5.85,2248,2172.43,377.84,0,0,0,0,0,0,0
5.9,2233,2184.55,242.27,0,0,0,0,0,0,0
5.95,2282,2204.04,389.81,0,0,0,0,0,0,0
6,2283,2219.83,315.85,0,0,0,0,0,0,0
6.05,2284,2232.66,256.68,0,0,0,0,0,0,0
6.1,2320,2250.13,349.35,0,0,0,0,0,0,0
6.15,2342,2268.5,367.48,0,0,0,0,0,0,0
6.2,2322,2279.2,213.98,0,0,0,0,0,0,0
6.25,2367,2296.76,351.19,0,0,0,0,0,0,0
6.3,2358,2309.01,244.95,0,0,0,0,0,0,0
6.35,2389,2325.01,319.96,0,0,0,0,0,0,0
6.4,2398,2339.61,291.97,0,0,0,0,0,0,0
6.45,2420,2355.69,321.57,0,0,0,0,0,0,0
6.5,2403,2365.15,189.26,0,0,0,0,0,0,0
6.55,2433,2378.72,271.41,0,0,0,0,0,0,0
6.6,2451,2393.17,289.13,0,0,0,0,0,0,0
6.65,2485,2411.54,367.3,0,0,0,0,0,0,0
6.7,2482,2425.63,281.84,0,0,0,0,0,0,0
6.75,2514,2443.31,353.47,0,0,0,0,0,0,0
6.8,2550,2464.64,426.78,0,0,0,0,0,0,0
6.85,2528,2477.32,253.42,0,0,0,0,0,0,0
6.9,2573,2496.45,382.74,0,0,0,0,0,0,0
6.95,2552,2507.56,222.19,0,0,0,0,0,0,0
7,2595,2525.05,349.75,0,0,0,0,0,0,0
7.05,2620,2544.04,379.8,0,0,0,0,0,0,0
7.1,2569,2549.03,99.84,0,0,0,0,0,0,0
7.15,2643,2567.83,375.87,0,0,0,0,0,0,0
7.2,2616,2577.46,192.7,0,0,0,0,0,0,0
7.25,2641,2590.17,254.16,0,0,0,0,0,0,0
7.3,2635,2599.13,179.33,0,0,0,0,0,0,0
7.35,2664,2612.11,259.46,0,0,0,0,0,0,0
7.4,2714,2632.49,407.57,0,0,0,0,0,0,0
7.45,2698,2645.59,262.06,0,0,0,0,0,0,0
7.5,2700,2656.47,217.64,0,0,0,0,0,0,0
7.55,2725,2670.18,274.12,0,0,0,0,0,0,0
7.6,2760,2688.14,359.29,0,0,0,0,0,0,0
7.65,2756,2701.71,271.44,0,0,0,0,0,0,0
7.7,2764,2714.17,249.15,0,0,0,0,0,0,0
7.75,2753,2721.94,155.32,0,0,0,0,0,0,0
7.8,2775,2732.55,212.26,0,0,0,0,0,0,0
7.85,2827,2751.44,377.8,0,0,0,0,0,0,0
7.9,2837,2768.55,342.24,0,0,0,0,0,0,0
7.95,2847,2784.24,313.79,0,0,0,0,0,0,0
8,2804,2788.19,79.03,0,0,0,0,0,0,0
8.05,2868,2804.15,319.23,0,0,0,0,0,0,0
8.1,2854,2814.12,199.38,0,0,0,0,0,0,0
8.15,2858,2822.9,175.51,0,0,0,0,0,0,0
8.2,2855,2829.32,128.4,0,0,0,0,0,0,0
8.25,2933,2850.06,414.72,0,0,0,0,0,0,0
8.3,2901,2860.24,203.78,0,0,0,0,0,0,0
8.35,2915,2871.2,219.02,0,0,0,0,0,0,0
8.4,2926,2882.16,219.22,0,0,0,0,0,0,0
8.45,2923,2890.32,163.37,0,0,0,0,0,0,0
8.5,2943,2900.86,210.7,0,0,0,0,0,0,0
8.55,2947,2910.09,184.56,0,0,0,0,0,0,0
8.6,2962,2920.47,207.65,0,0,0,0,0,0,0
8.65,2956,2927.58,142.12,0,0,0,0,0,0,0
8.7,3018,2945.66,361.69,0,0,0,0,0,0,0
8.75,3003,2957.13,229.36,0,0,0,0,0,0,0
8.8,3031,2971.9,295.48,0,0,0,0,0,0,0
8.85,3009,2979.32,148.39,0,0,0,0,0,0,0
8.9,3058,2995.06,314.71,0,0,0,0,0,0,0
8.95,3025,3001.05,119.77,0,0,0,0,0,0,0
9,3047,3010.24,183.81,0,0,0,0,0,0,0
9.05,3063,3020.79,211.05,0,0,0,0,0,0,0
9.1,3098,3036.23,308.84,0,0,0,0,0,0,0
