# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001582,0.000000,-0.000000,2.130000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.003163,0.000000,0.000000,2.130000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000
0.006327,0.000000,0.000000,2.130000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
0.009490,0.000000,0.000000,2.130000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
0.012654,-0.000000,-0.000000,2.130000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000
0.013371,0.000000,-0.000000,2.130000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.014089,-0.000000,0.000000,2.130000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015524,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.016960,0.000000,0.000000,2.130000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
0.018395,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.019026,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
0.019657,0.000000,0.000000,2.130000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
0.020919,-0.000000,-0.000000,2.130000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
0.022180,0.000000,-0.000000,2.130001,-0.000000,0.000000,0.001385,0.000000,0.000000,2.196378
0.023442,0.000000,0.000000,2.130007,-0.000000,0.000000,0.007763,0.000000,-0.000000,7.913581
0.025196,-0.000000,-0.000000,2.130036,-0.000000,-0.000000,0.028122,-0.000000,-0.000000,15.863878
0.026950,0.000000,0.000000,2.130113,0.000000,-0.000000,0.062926,0.000000,0.000000,23.814632
0.028705,-0.000000,-0.000000,2.130265,-0.000000,0.000000,0.111679,-0.000000,0.000000,31.765985
0.030459,0.000000,0.000000,2.130513,0.000000,0.000000,0.174382,0.000000,0.000000,39.718168
0.032589,0.000000,0.000000,2.130986,0.000000,0.000000,0.269255,0.000000,0.000000,49.373374
0.034719,0.000000,-0.000000,2.131682,0.000000,0.000000,0.384693,0.000000,-0.000000,59.030148
0.036848,-0.000000,-0.000000,2.132646,0.000000,0.000000,0.520700,0.000000,-0.000000,68.688814
0.041108,-0.000000,-0.000000,2.135525,-0.000000,-0.000000,0.846571,-0.000000,-0.000000,83.580115
0.044343,0.000000,-0.000000,2.138703,0.000000,-0.000000,1.122196,-0.000000,-0.000000,85.318953
0.046900,0.000000,0.000000,2.141855,0.000000,0.000000,1.341995,0.000000,0.000000,86.694267
0.049458,-0.000000,0.000000,2.145572,-0.000000,-0.000000,1.565473,0.000000,-0.000000,88.069970
0.052015,0.000000,0.000000,2.149865,0.000000,0.000000,1.792470,0.000000,-0.000000,89.446056
0.054573,0.000000,-0.000000,2.154743,-0.000000,0.000000,2.022987,0.000000,-0.000000,90.822584
0.059687,0.000000,0.000000,2.166272,0.000000,0.000000,2.485845,0.000000,0.000000,89.476461
0.064802,-0.000000,0.000000,2.180151,-0.000000,0.000000,2.939272,-0.000000,-0.000000,87.755309
