Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,1.223976E-05,1003.90,0,74.84, -,9.315441
0.05,8.25382,1003.60,7.857143,74.84, -,9.315441
0.10,22.01237,1003.10,20.95238,74.84, -,9.315441
0.15,33.0222,1002.70,31.42857,74.84, -,9.315441
0.20,44.03727,1002.30,41.90476,74.84, -,9.315441
0.25,55.05421,1001.90,52.38095,74.84, -,9.315441
0.30,71.58883,1001.30,68.14286,74.84, -,9.315441
0.35,79.85831,1001.00,76,74.84, -,9.315441
0.40,88.12979,1000.70,83.85714,74.84, -,9.315441
0.45,99.16269,1000.30,94.38095,74.84, -,9.315441
0.50,112.958,999.80,107.5238,74.84, -,9.315441
0.55,126.7589,999.30,120.6667,74.84, -,9.315441
0.60,137.8026,998.90,131.1905,74.84, -,9.315441
0.65,148.8516,998.50,141.7143,74.84, -,9.315441
0.70,170.9586,997.70,162.7619,74.84, -,9.315441
0.75,184.7831,997.20,175.9048,74.84, -,9.315441
0.80,198.6131,996.70,189.0952,74.84, -,9.315441
0.85,215.2175,996.10,204.9048,74.84, -,9.315441
0.90,242.9079,995.10,231.2857,74.84, -,9.315441
0.95,262.3033,994.40,249.7619,74.84, -,9.315441
1.00,281.7114,993.70,268.2381,74.84, -,9.315441
1.05,301.1306,993.00,286.7143,74.84, -,9.315441
1.10,326.1146,992.10,302.6667,74.84, -,9.315441
1.15,348.3371,991.30,310.7143,74.84, -,9.315441
1.20,370.5741,990.50,321.4286,74.84, -,9.315441
1.25,384.4799,990.00,324.1905,74.84, -,9.315441
1.30,403.9578,989.30,332.2857,74.84, -,9.315441
1.35,423.4469,988.60,335.0952,74.84, -,9.315441
1.40,442.9455,987.90,345.8095,74.84, -,9.315441
1.45,462.4569,987.20,356.5238,74.84, -,9.315441
1.50,484.7687,986.40,367.2381,74.84, -,9.315441
1.55,507.0969,985.60,375.381,74.84, -,9.315441
1.60,535.0261,984.60,388.8571,74.84, -,9.315441
1.65,560.1809,983.70,402.2857,74.84, -,9.315441
1.70,590.9534,982.60,421.0476,74.84, -,9.315441
1.75,618.9515,981.60,426.6667,74.84, -,9.315441
1.80,646.9729,980.60,440.1905,74.84, -,9.315441
1.85,672.2108,979.70,451.0476,74.84, -,9.315441
1.90,703.085,978.60,464.619,74.84, -,9.315441
1.95,725.5555,977.80,459.619,74.84, -,9.315441
2.00,750.852,976.90,465.2381,74.84, -,9.315441
2.05,776.1691,976.00,470.8571,74.84, -,9.315441
2.10,801.5051,975.10,476.5238,74.84, -,9.315441
2.15,824.0409,974.30,474.1905,74.84, -,9.315441
2.20,849.4109,973.40,477.1905,74.84, -,9.315441
2.25,871.9804,972.60,477.4762,74.84, -,9.315441
2.30,900.2116,971.60,491.1429,74.84, -,9.315441
2.35,922.8132,970.80,494.0952,74.84, -,9.315441
2.40,948.2573,969.90,499.7619,74.84, -,9.315441
2.45,970.8926,969.10,502.7619,74.84, -,9.315441
2.50,996.373,968.20,508.4762,74.84, -,9.315441
2.55,1019.039,967.40,508.8095,74.84, -,9.334889
2.60,1041.722,966.60,509.1429,74.84, -,9.334889
2.65,1064.418,965.80,504.1429,74.84, -,9.334889
2.70,1087.129,965.00,501.8095,74.84, -,9.334889
2.75,1109.856,964.20,494.1905,74.84, -,9.334889
2.80,1135.443,963.30,491.9048,74.84, -,9.334889
2.85,1158.202,962.50,486.9048,74.84, -,9.334889
2.90,1180.976,961.70,484.5238,74.84, -,9.334889
2.95,1203.766,960.90,476.8571,74.84, -,9.334889
3.00,1226.573,960.10,477.1905,74.84, -,9.334889
3.05,1249.394,959.30,474.8095,74.84, -,9.334889
3.10,1275.085,958.40,475.1905,74.84, -,9.334889
3.15,1297.94,957.60,472.8095,74.84, -,9.334889
3.20,1323.668,956.70,475.8571,74.84, -,9.334889
3.25,1349.417,955.80,476.2381,74.84, -,9.334889
3.30,1378.05,954.80,482.0476,74.84, -,9.334889
3.35,1400.973,954.00,476.9524,74.84, -,9.334889
3.40,1423.912,953.20,477.2857,74.84, -,9.334889
3.45,1446.866,952.40,474.9048,74.84, -,9.334889
3.50,1469.838,951.60,475.1905,74.84, -,9.315441
3.55,1489.948,950.90,470.0476,74.84, -,9.315441
3.60,1512.949,950.10,470.381,74.84, -,9.315441
3.65,1533.085,949.40,467.9524,74.84, -,9.315441
3.70,1556.116,948.60,468.2857,74.84, -,9.315441
3.75,1579.16,947.80,468.619,74.84, -,9.315441
3.80,1602.22,947.00,468.9048,74.84, -,9.315441
3.85,1622.412,946.30,463.7619,74.84, -,9.315441
3.90,1645.501,945.50,464.0952,74.84, -,9.315441
3.95,1665.719,944.80,461.6667,74.84, -,9.315441
