# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001595,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003190,0.000000,-0.000000,2.130000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
0.006380,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.009570,0.000000,-0.000000,2.130000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.012760,0.000000,0.000000,2.130000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.013486,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.014212,-0.000000,-0.000000,2.130000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
0.015664,0.000000,0.000000,2.130000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.017116,-0.000000,-0.000000,2.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.018568,0.000000,-0.000000,2.130000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
0.019198,0.000000,0.000000,2.130000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
0.019829,-0.000000,-0.000000,2.130000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
0.021089,0.000000,0.000000,2.130000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.022350,-0.000000,0.000000,2.130001,-0.000000,0.000157,0.001789,0.000000,0.248347,2.838622
0.023611,0.000000,0.000001,2.130008,0.000000,0.000780,0.008914,0.000000,0.740417,8.463006
0.026294,0.000000,0.000006,2.130074,0.000000,0.004048,0.046268,0.000000,1.787637,20.432779
0.028977,-0.000000,0.000025,2.130286,0.000000,0.010249,0.117149,-0.000000,2.834965,32.403799
0.031660,0.000000,0.000064,2.130731,0.000000,0.019261,0.220151,0.000000,3.882449,44.376598
0.034343,0.000000,0.000131,2.131496,0.000000,0.031083,0.355280,0.000000,4.930126,56.351603
0.039709,0.000000,0.000379,2.134329,0.000000,0.063162,0.721944,0.000000,7.026214,80.309993
0.040783,0.000000,0.000451,2.135150,0.000000,0.070783,0.809053,0.000000,7.176022,82.022306
0.041856,0.000000,0.000531,2.136066,-0.000000,0.078511,0.897386,-0.000000,7.225701,82.590137
0.042929,0.000000,0.000619,2.137077,0.000000,0.086292,0.986328,0.000000,7.275386,83.158044
0.045075,0.000000,0.000821,2.139387,-0.000000,0.102015,1.166040,-0.000000,7.374769,84.293998
0.047222,0.000000,0.001057,2.142085,0.000000,0.117951,1.348191,0.000000,7.474180,85.430270
0.049368,-0.000000,0.001328,2.145177,0.000000,0.134101,1.532782,-0.000000,7.573613,86.566794
0.053661,0.000000,0.001974,2.152565,0.000000,0.167041,1.909282,-0.000000,7.772550,88.840657
0.057954,0.000000,0.002763,2.161579,-0.000000,0.200357,2.290088,-0.000000,7.749067,88.572243
0.062247,-0.000000,0.003694,2.172220,0.000000,0.233355,2.667266,0.000000,7.624681,87.150503
0.067056,-0.000000,0.004903,2.186045,0.000000,0.269688,3.082543,-0.000000,7.485251,85.556809
0.071865,0.000000,0.006286,2.201849,0.000000,0.305349,3.490154,-0.000000,7.345736,83.962142
0.076674,0.000000,0.007839,2.219602,0.000000,0.340579,3.892834,0.000000,7.305840,83.506133
0.081483,-0.000000,0.009561,2.239287,-0.000000,0.375691,4.294167,0.000000,7.296727,83.401971
0.086292,0.000000,0.011452,2.260902,-0.000000,0.410759,4.694999,0.000000,7.287601,83.297656
0.091101,-0.000000,0.013512,2.284443,-0.000000,0.445784,5.095329,0.000000,7.278459,83.193172
0.139191,0.000000,0.043332,2.625283,0.000000,0.793597,9.070861,0.000000,7.186328,82.140109
0.140591,0.000000,0.044449,2.638060,0.000000,0.803654,9.185806,0.000000,7.183628,82.109244
0.144237,0.000001,0.047489,2.672637,0.000213,0.833762,9.484499,0.058369,8.258579,81.931464
0.147882,0.000002,0.050638,2.708302,0.000430,0.863860,9.782898,0.059520,8.255970,81.850686
0.155174,0.000007,0.057156,2.781805,0.000872,0.924036,10.379104,0.061735,8.250338,81.688616
0.162465,0.000015,0.064113,2.859655,0.001329,0.984238,10.974928,0.063728,8.262968,81.745652
0.169756,0.000027,0.071510,2.941850,0.001800,1.044537,11.571271,0.065485,8.277108,81.831019
0.192515,0.000085,0.097431,3.226428,0.003333,1.233336,13.436686,0.069217,8.314027,82.096569
0.215274,0.000179,0.127657,3.553530,0.004917,1.422836,15.308146,0.069919,8.338668,82.362131
0.238033,0.000309,0.162200,3.923294,0.006476,1.612734,17.185644,0.067082,8.349013,82.627263
0.296995,0.000792,0.271773,5.080572,0.009786,2.104089,22.077755,0.039974,8.296957,83.314960
0.342088,0.001260,0.375045,6.161010,0.010666,2.475527,25.846556,-0.004318,8.164065,83.842208
0.387181,0.001713,0.494895,7.411928,0.009014,2.838877,29.639161,-0.072991,7.935861,84.370706
0.432274,0.002012,0.630855,8.834304,0.003667,3.189159,33.450330,-0.168574,7.578832,84.618625
0.477367,0.001964,0.782206,10.428769,-0.006653,3.520569,37.270132,-0.294067,7.100078,84.787071
0.514038,0.001494,0.915977,11.852565,-0.019680,3.772382,40.381862,-0.419946,6.619982,84.921630
0.550710,0.000456,1.058640,13.390561,-0.037729,4.005056,43.498484,-0.568130,6.055649,85.052682
0.587381,-0.001348,1.209438,15.042936,-0.061628,4.215477,46.619831,-0.739039,5.406296,85.179145
0.624053,-0.004148,1.367496,16.809859,-0.092209,4.400548,49.745693,-0.932534,4.673251,85.298543
0.675913,-0.010318,1.601489,19.504459,-0.148440,4.613192,54.173365,-1.243085,3.501796,85.451887
0.727773,-0.019838,1.844869,22.428784,-0.221719,4.761310,58.603684,-1.587853,2.188151,85.338969
0.779634,-0.033634,2.094116,25.582662,-0.313585,4.838552,63.023332,-1.958748,0.778000,85.094943
0.831494,-0.052702,2.345446,28.965377,-0.425127,4.841303,67.429069,-2.344566,-0.674881,84.815063
0.883354,-0.078074,2.594968,32.576181,-0.556722,4.768973,71.819563,-2.728926,-2.105985,84.499065
