T,Alt,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,AUX
0.00,-4.00,-0.80,-16.00,0,0,0,0,0,0,0
0.05,19.00,3.16,79.20,0,0,0,0,0,0,0
0.10,50.00,12.53,187.36,0,0,0,0,0,0,0
0.15,39.00,17.82,105.89,0,0,0,0,0,0,0
0.20,51.00,24.46,132.71,0,0,0,0,0,0,0
0.25,12.00,21.97,-49.83,0,0,0,0,0,0,0
0.30,26.00,22.77,16.13,0,0,0,0,0,0,0
0.35,38.00,25.82,60.91,0,0,0,0,0,0,0
0.40,35.00,27.65,36.73,0,0,0,0,0,0,0
0.45,76.00,37.32,193.38,0,0,0,0,0,0,0
0.50,61.00,42.06,94.70,0,0,0,0,0,0,0
0.55,124.00,58.45,327.76,0,0,0,0,0,0,0
0.60,90.00,64.76,126.21,0,0,0,0,0,0,0
0.65,157.00,83.21,368.97,0,0,0,0,0,0,0
0.70,190.00,104.56,427.18,0,0,0,0,0,0,0
0.75,186.00,120.85,325.74,0,0,0,0,0,0,0
0.80,205.00,137.68,336.59,205,0,0,0,0,0,0
0.85,233.00,156.75,381.27,0,0,0,0,0,0,0
0.90,250.00,175.40,373.02,0,0,0,0,0,0,0
0.95,295.00,199.32,478.42,0,0,0,0,0,0,0
1.00,292.00,217.85,370.73,0,0,0,0,0,0,0
1.05,315.00,237.28,388.59,0,0,0,0,0,0,0
1.10,338.00,257.43,402.87,0,0,0,0,0,0,0
1.15,347.00,275.34,358.29,0,0,0,0,0,0,0
1.20,425.00,305.27,598.64,0,0,0,0,0,0,0
1.25,422.00,328.62,466.91,0,0,0,0,0,0,0
1.30,451.00,353.09,489.53,0,0,0,0,0,0,0
1.35,485.00,379.48,527.62,0,0,0,0,0,0,0
1.40,470.00,397.58,362.10,0,0,0,0,0,0,0
1.45,471.00,412.26,293.68,0,0,0,0,0,0,0
1.50,500.00,429.81,350.94,0,0,0,0,0,0,0
1.55,508.00,445.45,312.75,0,0,0,0,0,0,0
1.60,558.00,467.96,450.20,0,0,0,0,0,0,0
1.65,584.00,491.17,464.16,0,0,0,0,0,0,0
1.70,582.00,509.33,363.33,0,0,0,0,0,0,0
1.75,627.00,532.87,470.66,0,0,0,0,0,0,0
1.80,664.00,559.09,524.53,0,0,0,0,0,0,0
1.85,704.00,588.08,579.63,0,0,0,0,0,0,0
1.90,740.00,618.46,607.70,0,0,0,0,0,0,0
1.95,733.00,641.37,458.16,0,0,0,0,0,0,0
2.00,787.00,670.49,582.53,0,0,0,0,0,0,0
2.05,788.00,694.00,470.02,0,0,0,0,0,0,0
2.10,820.00,719.20,504.02,0,0,0,0,0,0,0
