# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001588,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.003176,-0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
0.006351,0.000000,0.000000,248.836276,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
0.009527,-0.000000,0.000000,248.836276,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
0.012703,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
0.013425,-0.000000,0.000000,248.836276,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.014146,-0.000000,0.000000,248.836276,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
0.015589,0.000000,-0.000000,248.836276,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.017033,0.000000,-0.000000,248.836276,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.018476,-0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.019106,0.000000,0.000000,248.836276,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
0.019737,0.000000,-0.000000,248.836276,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
0.020998,-0.000000,0.000000,248.836276,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.022259,0.000000,-0.000000,248.836277,0.000117,-0.000076,0.001598,0.185913,-0.120733,2.533766
0.023520,0.000001,-0.000000,248.836283,0.000614,-0.000399,0.008368,0.601896,-0.390876,8.203106
0.025656,0.000004,-0.000002,248.836326,0.002594,-0.001684,0.035346,1.306537,-0.848475,17.806500
0.027792,0.000013,-0.000008,248.836449,0.006137,-0.003985,0.083640,2.011234,-1.306110,27.410649
