Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,2.917644E-05,994.40,0,84.74, -,8.770906
0.05,8.317637,994.10,7.904762,84.74, -,8.770906
0.10,13.86158,993.90,13.19048,84.74, -,8.770906
0.15,24.95557,993.50,23.76191,84.74, -,8.770906
0.20,36.05317,993.10,34.33333,84.74, -,8.770906
0.25,47.1527,992.70,44.90476,84.74, -,8.770906
0.30,58.25755,992.30,55.47619,84.74, -,8.770906
0.35,74.91992,991.70,71.33334,84.74, -,8.770906
0.40,88.81203,991.20,84.57143,84.74, -,8.770906
0.45,99.93048,990.80,95.14286,84.74, -,8.770906
0.50,113.8328,990.30,108.381,84.74, -,8.770906
0.55,136.088,989.50,129.5714,84.74, -,8.829249
0.60,150.0052,989.00,142.8095,84.74, -,8.829249
0.65,166.7125,988.40,158.7143,84.74, -,8.829249
0.70,183.4299,987.80,174.619,84.74, -,8.829249
0.75,211.3086,986.80,201.1905,84.74, -,8.829249
0.80,230.8377,986.10,219.8095,84.74, -,8.829249
0.85,244.7937,985.60,233.0952,84.74, -,8.829249
0.90,261.5477,985.00,249.0476,84.74, -,8.829249
0.95,300.675,983.60,286.3333,84.74, -,8.829249
1.00,320.2538,982.90,305,84.74, -,8.829249
1.05,342.6463,982.10,326.3333,84.74, -,8.829249
1.10,365.0519,981.30,339.7619,84.74, -,8.829249
1.15,390.2753,980.40,358.4762,84.74, -,8.829249
1.20,412.7141,979.60,369.2857,84.74, -,8.829249
1.25,437.9729,978.70,382.7619,84.74, -,8.829249
1.30,460.4416,977.90,393.5714,84.74, -,8.829249
1.35,485.7377,977.00,407.0952,84.74, -,8.829249
1.40,508.238,976.20,412.6667,84.74, -,8.829249
1.45,536.3848,975.20,426.2381,84.74, -,8.829249
1.50,558.9188,974.40,437.1429,84.74, -,8.829249
1.55,587.1077,973.40,450.7619,84.74, -,8.829249
1.60,609.6771,972.60,451.0476,84.74, -,8.829249
1.65,635.0831,971.70,462,84.74, -,8.829249
1.70,657.6828,970.90,467.619,84.74, -,8.829249
1.75,685.954,969.90,478.619,84.74, -,8.829249
1.80,708.5894,969.10,473.619,84.74, -,8.829249
1.85,748.2343,967.70,492.7619,84.74, -,8.829249
1.90,773.7462,966.80,503.7619,84.74, -,8.829249
1.95,787.9274,966.30,501.3333,84.74, -,8.829249
2.00,807.7914,965.60,482.9524,84.74, -,8.829249
2.05,830.5067,964.80,485.9048,84.74, -,8.829249
2.10,853.2371,964.00,486.2381,84.74, -,8.829249
2.15,878.8283,963.10,489.2857,84.74, -,8.829249
2.20,901.5913,962.30,486.9524,84.74, -,8.829249
2.25,927.2174,961.40,490,84.74, -,8.829249
2.30,952.8646,960.50,490.381,84.74, -,8.829249
2.35,978.5313,959.60,493.4286,84.74, -,8.829249
2.40,1001.362,958.80,491.0952,84.74, -,8.829249
2.45,1027.063,957.90,494.1429,84.74, -,8.829249
2.50,1052.786,957.00,491.8095,84.74, -,8.829249
2.55,1075.667,956.20,492.1429,84.56, -,8.829249
2.60,1098.563,955.40,487.0952,84.56, -,8.829249
2.65,1121.476,954.60,487.4286,84.56, -,8.829249
2.70,1144.403,953.80,485.0952,84.56, -,8.829249
2.75,1167.346,953.00,485.4286,84.56, -,8.829249
2.80,1190.304,952.20,480.381,84.56, -,8.829249
