# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001551,-0.000000,-0.000000,248.836276,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.003102,0.000000,0.000000,248.836276,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.006204,-0.000000,-0.000000,248.836276,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.009306,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012408,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.013106,0.000000,0.000000,248.836276,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.013805,0.000000,-0.000000,248.836276,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.015203,0.000000,0.000000,248.836276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.016601,0.000000,-0.000000,248.836276,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
0.017999,-0.000000,-0.000000,248.836276,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
0.018631,-0.000000,-0.000000,248.836276,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.019262,0.000000,-0.000000,248.836276,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
0.020526,-0.000000,0.000000,248.836276,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
0.021789,0.000000,0.000000,248.836276,0.000047,0.000000,0.000542,0.075059,0.000000,0.857928
0.023053,0.000000,0.000000,248.836280,0.000470,0.000000,0.005370,0.593464,0.000000,6.783330
0.024317,0.000002,0.000000,248.836294,0.001547,0.000000,0.017684,1.111884,0.000000,12.708890
0.025580,0.000005,0.000000,248.836329,0.003280,0.000000,0.037487,1.630322,0.000000,18.634665
0.026844,0.000010,0.000000,248.836394,0.005667,0.000000,0.064776,2.148784,0.000000,24.560712
0.039479,0.000388,0.000000,248.840711,0.065585,0.000000,0.749639,7.335786,0.000000,83.848417
0.039702,0.000403,0.000000,248.840882,0.067241,0.000000,0.768565,7.427357,0.000000,84.895081
0.039925,0.000418,0.000000,248.841058,0.068917,0.000000,0.787724,7.518930,0.000000,85.941766
0.040148,0.000434,0.000000,248.841238,0.070602,0.000000,0.806980,7.556885,0.000000,86.375588
0.040371,0.000450,0.000000,248.841422,0.072289,0.000000,0.826264,7.567735,0.000000,86.499606
0.040594,0.000467,0.000000,248.841611,0.073978,0.000000,0.845575,7.578585,0.000000,86.623627
0.041040,0.000500,0.000000,248.841996,0.077362,0.000000,0.884253,7.600287,0.000000,86.871679
0.041486,0.000536,0.000000,248.842399,0.080756,0.000000,0.923041,7.621990,0.000000,87.119744
0.041932,0.000573,0.000000,248.842819,0.084159,0.000000,0.961940,7.643695,0.000000,87.367836
0.046390,0.001025,0.000000,248.847989,0.118723,0.000000,1.357015,7.860799,0.000000,89.849345
0.050849,0.001633,0.000000,248.854945,0.154256,0.000000,1.763157,8.078016,0.000000,92.332145
0.055307,0.002402,0.000000,248.863735,0.190704,0.000000,2.179752,8.271002,0.000000,94.537985
0.056114,0.002559,0.000000,248.865523,0.197363,0.000000,2.255864,8.246471,0.000000,94.257600
0.056920,0.002721,0.000000,248.867373,0.204002,0.000000,2.331751,8.221938,0.000000,93.977180
0.057726,0.002888,0.000000,248.869283,0.210621,0.000000,2.407412,8.197402,0.000000,93.696737
